Brand,Model_SubModel,Year,GearType,Price
AUDI,Q7 2.0 40 TFSI Quattro (MY17),2018,AUTO,"2,600,000"
AUDI,Q7 2.0 40 TFSI Quattro (MY17),2019,AUTO,"2,700,000"
AUDI,Q7 3.0 45 TDI Quattro S line (MY17),2017,AUTO,"3,000,000"
AUDI,Q7 3.0 45 TDI Quattro S line (MY17),2018,AUTO,"3,100,000"
AUDI,Q7 3.0 45 TDI Quattro S line (MY17),2019,AUTO,"3,200,000"
AUDI,Q7 3.0 45 TFSI Quattro S line (MY17),2017,AUTO,"3,100,000"
AUDI,Q7 3.0 45 TFSI Quattro S line (MY17),2018,AUTO,"3,200,000"
AUDI,Q7 3.0 45 TFSI Quattro S line (MY17),2019,AUTO,"3,300,000"
AUDI,Q7 3.0 45 TFSI Quattro S line (MY17),2020,AUTO,"3,400,000"
AUDI,Q7 3.0 45 TFSI Quattro S line Black Edition (MY17),2018,AUTO,"3,600,000"
AUDI,Q7 3.0 45 TFSI Quattro S line Black Edition (MY17),2019,AUTO,"3,750,000"
AUDI,Q7 3.0 45 TDI Quattro (MY17) (MNC),2020,AUTO,"3,300,000"
AUDI,Q7 3.0 45 TDI Quattro (MY17) (MNC),2021,AUTO,"3,400,000"
AUDI,Q7 3.0 45 TDI Quattro (MY17) (MNC),2022,AUTO,"3,500,000"
AUDI,Q7 3.0 45 TDI Quattro S line (MY17) (MNC),2020,AUTO,"3,650,000"
AUDI,Q7 3.0 45 TDI Quattro S line (MY17) (MNC),2021,AUTO,"3,800,000"
AUDI,Q7 3.0 45 TDI Quattro S line (MY17) (MNC),2022,AUTO,"3,950,000"
AUDI,Q8 3.0 55 TFSI Quattro S line (CBU) (MY18),2018,AUTO,"4,600,000"
AUDI,Q8 3.0 55 TFSI Quattro S line (CBU) (MY18),2019,AUTO,"4,800,000"
AUDI,Q8 3.0 55 TFSI Quattro S line (CBU) (MY18),2020,AUTO,"5,000,000"
AUDI,Q8 3.0 55 TFSI Quattro S line (CBU) (MY18),2021,AUTO,"5,200,000"
AUDI,Q8 3.0 55 TFSI Quattro S line (CBU) (MY18),2022,AUTO,"5,400,000"
AUDI,RS Q3 2.5 Sportback Quattro (CBU),2021,AUTO,"3,700,000"
AUDI,RS Q3 2.5 Sportback Quattro (CBU),2022,AUTO,"3,800,000"
AUDI,RS Q8 4.0 Quattro (CBU),2020,AUTO,"7,800,000"
AUDI,RS Q8 4.0 Quattro (CBU),2021,AUTO,"8,000,000"
AUDI,RS Q8 4.0 Quattro (CBU),2022,AUTO,"8,200,000"
AUDI,RS4 2.9 Avant Quattro (CBU),2020,AUTO,"4,400,000"
AUDI,RS4 2.9 Avant Quattro (CBU),2021,AUTO,"4,600,000"
AUDI,RS4 2.9 Avant Quattro (CBU),2022,AUTO,"4,800,000"
AUDI,RS5 2.9 Coupe Quattro (CBU),2021,AUTO,"4,700,000"
AUDI,RS5 2.9 Coupe Quattro (CBU),2022,AUTO,"4,900,000"
AUDI,RS6 4.0 Avant Quattro (CBU),2021,AUTO,"7,400,000"
AUDI,RS6 4.0 Avant Quattro (CBU),2022,AUTO,"7,700,000"
AUDI,R8 5.2 Coupe V10 FSI Quattro (MY17),2017,AUTO,"14,000,000"
AUDI,R8 5.2 Coupe V10 FSI Quattro (MY17),2018,AUTO,"14,300,000"
AUDI,R8 5.2 Coupe V10 FSI Quattro (MY17),2019,AUTO,"14,600,000"
AUDI,S3 2.0 Sportback Quattro (CBU),2021,AUTO,"2,850,000"
AUDI,S3 2.0 Sportback Quattro (CBU),2022,AUTO,"3,000,000"
AUDI,E-tron 55 Quattro EV,2019,AUTO,"3,950,000"
AUDI,E-tron 55 Quattro EV,2020,AUTO,"4,150,000"
AUDI,E-tron 55 Quattro EV,2021,AUTO,"4,350,000"
AUDI,E-tron 55 Quattro EV,2022,AUTO,"4,550,000"
AUDI,E-tron 55 Sportback Quattro S line EV,2020,AUTO,"4,300,000"
AUDI,E-tron 55 Sportback Quattro S line EV,2021,AUTO,"4,500,000"
AUDI,E-tron 55 Sportback Quattro S line EV,2022,AUTO,"4,700,000"
AUDI,E-tron GT Quattro EV,2021,AUTO,"5,400,000"
AUDI,E-tron GT Quattro EV,2022,AUTO,"5,650,000"
AUDI,E-tron GT Quattro Performance EV,2021,AUTO,"5,800,000"
AUDI,E-tron GT Quattro Performance EV,2022,AUTO,"6,050,000"
AUDI,RS E-tron GT Quattro EV,2021,AUTO,"8,100,000"
AUDI,RS E-tron GT Quattro EV,2022,AUTO,"8,400,000"
BMW,116i 1.6,2014,AUTO,"720,000"
BMW,116i 1.6,2015,AUTO,"760,000"
BMW,116i 1.6,2016,AUTO,"800,000"
BMW,116i 1.6,2017,AUTO,"840,000"
BMW,116i 1.6 M Sport,2013,AUTO,"720,000"
BMW,116i 1.6 M Sport,2014,AUTO,"760,000"
